year,Item_EN,Item_AR,Type_EN,Type_AR,USD_Million
2012,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Debit,مدين,68719.40095302927
2012,Total Imports ( FOB ),إجمالى الواردات (FOB),Debit,مدين,218046.83458134785
2012,"Total imports, service",جملة الواردات الخدمية,Debit,مدين,63244.38393464942
2012,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Debit,مدين,319770.1837985024
2012,Services ( NET ),الخدمات (صافى),Debit,مدين,nan
2012,     Services,     الخدمات  ,Debit,مدين,63244.38393464942
2012,     Travel,     السياحة,Debit,مدين,15071.749489448604
2012,     Transport,     النقل,Debit,مدين,8740.63989108237
2012,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Debit,مدين,953.0292716133424
2012,Other Services,خدمات أخرى,Debit,مدين,nan
2012,Fright and Insurance,نفقات الشحن والتأمين,Debit,مدين,38478.96528250511
2012,Investment Income  ( NET ),دخل الإستثمارات (صافى),Debit,مدين,nan
2012,     Financial Entities + Pvt. non banks,     الكيانات المالية,Debit,مدين,nan
2012,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Debit,مدين,7054.594962559565
2012,Transfers ( NET ),تحويلات (صافية),Debit,مدين,nan
2012,     Private,     خاصة,Debit,مدين,844.1116405718176
2012,     Public,     عامة,Debit,مدين,14396.187882913548
2012,Current Account Balance ,ميزان الحساب الجارى,Debit,مدين,nan
2013,Trade Balance (CIF),الميزان التجارى(CIF),Credit,دائن,100646.15384615384
2013,Trade Balance (FOB),الميزان التجارى (FOB),Credit,دائن,140415.79305650102
2013,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Credit,دائن,371223.41729067394
2013,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Credit,دائن,392571.27297481283
2013,Crude Oil Exports,     النفط الخام,Credit,دائن,106857.99863852962
2013,     Petroleum Products Exports,     المنتجات النفطية,Credit,دائن,9530.292716133425
2013,     Gas Exports,     الغاز,Credit,دائن,13015.65690946222
2013,     Other Exports,     صادرات أخرى,Credit,دائن,40353.43771272975
2013,     Free Zone Exports,     صادرات المناطق الحرة,Credit,دائن,63761.19809394146
2013,     Re Exports,     إعادة التصدير,Credit,دائن,137704.83321987747
2013,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Credit,دائن,nan
2013,Emirates Imports - CIF,     واردات الإمارات (CIF),Credit,دائن,nan
2013,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Credit,دائن,nan
2013,Total Imports ( FOB ),إجمالى الواردات (FOB),Credit,دائن,nan
2013,"Total imports, service",جملة الواردات الخدمية,Credit,دائن,nan
2013,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Credit,دائن,nan
2013,Services ( NET ),الخدمات (صافى),Credit,دائن,-40831.58611300204
2013,     Services,     الخدمات  ,Credit,دائن,21347.85568413887
2013,     Travel,     السياحة,Credit,دائن,12389.380530973453
2013,     Transport,     النقل,Credit,دائن,8168.822328114364
2013,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Credit,دائن,789.6528250510552
2013,Other Services,خدمات أخرى,Credit,دائن,nan
2013,Fright and Insurance,نفقات الشحن والتأمين,Credit,دائن,nan
2013,Investment Income  ( NET ),دخل الإستثمارات (صافى),Credit,دائن,1579.3056501021103
2013,     Financial Entities + Pvt. non banks,     الكيانات المالية,Credit,دائن,8114.363512593602
2013,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Credit,دائن,nan
2013,Transfers ( NET ),تحويلات (صافية),Credit,دائن,-29952.348536419333
2013,     Private,     خاصة,Credit,دائن,nan
2013,     Public,     عامة,Credit,دائن,nan
2013,Current Account Balance ,ميزان الحساب الجارى,Credit,دائن,71211.16405718176
2013,Trade Balance (CIF),الميزان التجارى(CIF),Debit,مدين,nan
2013,Trade Balance (FOB),الميزان التجارى (FOB),Debit,مدين,nan
2013,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Debit,مدين,nan
2013,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Debit,مدين,nan
2013,Crude Oil Exports,     النفط الخام,Debit,مدين,nan
2013,     Petroleum Products Exports,     المنتجات النفطية,Debit,مدين,nan
2013,     Gas Exports,     الغاز,Debit,مدين,nan
2013,     Other Exports,     صادرات أخرى,Debit,مدين,nan
2013,     Free Zone Exports,     صادرات المناطق الحرة,Debit,مدين,nan
2013,     Re Exports,     إعادة التصدير,Debit,مدين,nan
2013,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Debit,مدين,270577.26344452007
2013,Emirates Imports - CIF,     واردات الإمارات (CIF),Debit,مدين,192666.57590197414
2013,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Debit,مدين,77910.68754254596
2013,Total Imports ( FOB ),إجمالى الواردات (FOB),Debit,مدين,230807.62423417292
2013,"Total imports, service",جملة الواردات الخدمية,Debit,مدين,62179.44179714091
2013,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Debit,مدين,332756.705241661
2013,Services ( NET ),الخدمات (صافى),Debit,مدين,nan
2013,     Services,     الخدمات  ,Debit,مدين,62179.44179714091
2013,     Travel,     السياحة,Debit,مدين,13886.997957794418
2013,     Transport,     النقل,Debit,مدين,7569.775357385977
2013,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Debit,مدين,953.0292716133424
2013,Other Services,خدمات أخرى,Debit,مدين,nan
2013,Fright and Insurance,نفقات الشحن والتأمين,Debit,مدين,39769.63921034717
2013,Investment Income  ( NET ),دخل الإستثمارات (صافى),Debit,مدين,nan
2013,     Financial Entities + Pvt. non banks,     الكيانات المالية,Debit,مدين,nan
2013,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Debit,مدين,6535.057862491491
2013,Transfers ( NET ),تحويلات (صافية),Debit,مدين,nan
2013,     Private,     خاصة,Debit,مدين,5990.469707283867
2013,     Public,     عامة,Debit,مدين,23961.87882913547
2013,Current Account Balance ,ميزان الحساب الجارى,Debit,مدين,nan
2014,Trade Balance (CIF),الميزان التجارى(CIF),Credit,دائن,67016.74608577264
2014,Trade Balance (FOB),الميزان التجارى (FOB),Credit,دائن,107534.10483321988
2014,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Credit,دائن,343041.252552757
2014,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Credit,دائن,399569.50306330837
2014,Crude Oil Exports,     النفط الخام,Credit,دائن,71912.86589516679
2014,     Petroleum Products Exports,     المنتجات النفطية,Credit,دائن,16936.691626957116
